Date,Hs(m).tot,Tp(s).tot,T1(s).tot,Hs(m).sw,Tp(s).sw,T1(s).sw,Dir(deg).sw,Hs(m).sea,Tp(s).sea,T1(s).sea,Dir(deg).sea
03/01/2017  22:50,1.74,11.11,6.3,1.22,11.11,10.89,228,1.24,5.26,4.47,219
03/01/2017  23:20,1.75,11.76,6.27,1.19,11.76,10.9,226,1.28,5.56,4.57,221
03/01/2017  23:50,1.78,11.76,6.12,1.14,11.76,10.97,222,1.37,5.26,4.68,218
04/01/2017  00:20,1.89,12.5,6.6,1.31,12.5,10.56,232,1.36,5.56,4.89,225
04/01/2017  00:50,1.86,11.76,6.48,1.22,11.76,10.72,225,1.4,6.67,4.97,242
04/01/2017  01:20,1.89,11.76,6.61,1.24,11.76,10.42,233,1.43,7.69,5.2,243
04/01/2017  01:50,1.82,11.76,6.42,1.16,11.76,10.7,238,1.41,5.88,5.07,225
04/01/2017  02:20,1.98,11.76,6.47,1.13,11.76,10.73,226,1.62,6.67,5.42,235
04/01/2017  02:50,1.72,12.5,6.28,1.02,12.5,10.52,239,1.39,6.67,5.16,240
04/01/2017  03:20,1.83,11.11,6.51,1.09,11.11,10.41,233,1.47,7.14,5.4,242
04/01/2017  03:50,1.78,12.5,6.7,1.2,12.5,10.57,243,1.32,7.14,5.16,235
04/01/2017  04:20,1.78,11.76,6.75,1.15,11.76,10.54,248,1.36,6.67,5.37,229
04/01/2017  04:50,1.65,11.76,6.39,0.98,11.76,10.24,235,1.33,6.25,5.31,217
04/01/2017  05:20,1.7,11.76,6.68,1.09,11.76,10.39,239,1.3,7.69,5.34,225
04/01/2017  05:50,1.83,11.76,6.97,1.18,11.76,10.48,232,1.4,6.67,5.62,221
04/01/2017  06:20,1.73,7.69,6.65,1.02,11.76,10.2,232,1.4,7.69,5.61,221
04/01/2017  06:50,1.71,11.11,6.86,1.09,11.11,10,238,1.32,7.14,5.65,222
04/01/2017  07:20,1.65,11.76,6.93,1.11,11.76,10.43,240,1.23,6.67,5.45,222
04/01/2017  07:50,1.67,12.5,6.74,1.04,12.5,10.37,231,1.32,7.14,5.54,224
04/01/2017  08:20,1.76,7.69,6.79,1.1,8.33,9.8,221,1.37,7.69,5.67,217
04/01/2017  08:50,1.78,7.14,6.93,1.08,8.33,9.99,222,1.41,7.14,5.86,212
04/01/2017  09:20,1.8,11.11,6.97,1.12,11.11,10.44,235,1.4,7.14,5.74,218
04/01/2017  09:50,1.73,11.76,6.96,1.14,11.76,9.97,233,1.29,7.69,5.63,217
04/01/2017  10:20,1.8,11.11,7.12,1.23,11.11,10.22,239,1.31,6.67,5.63,212
04/01/2017  10:50,1.85,8.33,7.25,1.27,8.33,9.86,215,1.34,7.69,5.85,211
04/01/2017  11:20,1.8,11.76,7.18,1.24,11.76,10.33,236,1.31,7.69,5.64,219
04/01/2017  11:50,1.89,7.69,7.14,1.23,12.5,10.26,240,1.43,7.69,5.83,214
04/01/2017  12:20,1.79,11.11,7.21,1.24,11.11,10.36,239,1.3,7.14,5.65,214
04/01/2017  12:50,1.97,11.11,7.45,1.43,11.11,10.1,229,1.36,7.69,5.79,210
04/01/2017  13:20,1.84,11.76,7.23,1.24,11.76,10.3,235,1.36,7.14,5.8,212
04/01/2017  13:50,1.7,10.53,6.81,1.11,10.53,10.01,229,1.29,7.69,5.52,214
04/01/2017  14:20,1.82,10.53,7.04,1.24,10.53,10.51,235,1.33,7.69,5.48,215
04/01/2017  14:50,1.82,10.53,6.73,1.24,10.53,10.04,249,1.33,7.69,5.23,211
04/01/2017  15:20,1.75,10.53,6.54,1.18,10.53,10.45,249,1.29,6.67,4.99,210
04/01/2017  15:50,1.72,11.11,6.39,1.21,11.11,10.12,239,1.23,7.69,4.72,212
04/01/2017  16:20,1.78,10.53,6.32,1.1,10.53,10.15,238,1.4,7.14,5.12,210
04/01/2017  16:50,1.74,11.76,6.3,1.11,11.76,10.38,238,1.35,7.69,4.97,211
04/01/2017  17:20,1.84,7.69,6.16,1.09,11.11,9.94,238,1.48,7.69,5.1,217
04/01/2017  17:50,1.86,11.11,6.18,1.17,11.11,10.11,239,1.45,7.14,4.94,208
04/01/2017  18:20,1.88,11.76,6.27,1.15,11.76,10.32,232,1.49,7.14,5.07,211
04/01/2017  18:50,1.83,11.76,6.15,1.11,11.76,10.3,225,1.46,7.14,4.99,211
04/01/2017  19:20,1.88,11.76,6.08,1.07,11.76,10.17,236,1.54,7.14,5.09,208
04/01/2017  19:50,1.8,10.53,5.99,1.08,10.53,10.02,233,1.44,7.69,4.9,224
04/01/2017  20:20,1.83,10.53,5.95,1.06,10.53,10.04,225,1.49,7.14,4.94,205
04/01/2017  20:50,1.94,11.11,6.31,1.16,11.11,10.4,232,1.55,7.14,5.18,210
04/01/2017  21:20,1.82,11.11,6.06,1.11,11.11,10.21,235,1.44,7.69,4.88,217
04/01/2017  21:50,1.84,11.11,6.04,1.07,11.11,10.13,226,1.49,7.14,5.01,218
04/01/2017  22:20,1.83,11.11,6.22,1.14,11.11,9.86,240,1.43,7.14,5.03,210
04/01/2017  22:50,1.74,7.69,5.92,1,11.11,9.85,239,1.42,7.69,4.93,219
04/01/2017  23:20,1.72,11.11,5.9,0.99,11.11,10.15,240,1.41,7.14,4.9,211
04/01/2017  23:50,1.68,6.67,5.77,0.91,11.11,9.95,226,1.41,6.67,4.91,219
05/01/2017  00:20,1.72,10.53,5.86,1.04,10.53,9.91,243,1.37,6.25,4.75,218
05/01/2017  00:50,1.87,11.11,6.09,1.1,11.11,9.89,228,1.51,7.14,5.05,212
05/01/2017  01:20,1.81,11.11,6.11,1.07,11.11,10.03,239,1.46,6.67,5.04,214
05/01/2017  01:50,1.72,11.11,5.97,1.04,11.11,9.95,226,1.37,7.14,4.85,221
05/01/2017  02:20,1.76,11.11,6.04,1,11.11,9.88,231,1.45,7.69,5.1,226
05/01/2017  02:50,1.64,11.11,6,0.91,11.11,10.06,236,1.36,6.67,5.09,208
05/01/2017  03:20,1.58,10,5.95,0.93,10,9.88,235,1.27,7.14,4.91,219
05/01/2017  03:50,1.69,11.11,6.21,1.02,11.11,10.01,238,1.35,6.67,5.1,202
05/01/2017  04:20,1.77,10.53,6.32,0.98,10.53,9.98,238,1.47,6.67,5.43,207
05/01/2017  04:50,1.64,10.53,6.24,0.96,10.53,10.16,235,1.33,7.69,5.19,221
05/01/2017  05:20,1.61,10.53,6.2,0.95,10.53,10.16,236,1.29,7.14,5.11,217
05/01/2017  05:50,1.57,7.69,6.3,0.92,11.11,10.12,232,1.28,7.69,5.28,219
05/01/2017  06:20,1.48,10.53,6.35,0.89,10.53,10.17,235,1.19,7.14,5.23,210
05/01/2017  06:50,1.71,7.14,6.61,1.02,10.53,10.13,239,1.37,7.14,5.55,207
05/01/2017  07:20,1.67,11.11,6.41,0.95,11.11,10.31,233,1.38,6.67,5.44,202
05/01/2017  07:50,1.58,11.11,6.55,1.01,11.11,10.18,232,1.21,6.25,5.26,205
05/01/2017  08:20,1.6,7.69,6.58,0.93,10.53,10.35,235,1.3,7.69,5.55,212
05/01/2017  08:50,1.41,10.53,6.29,0.88,10.53,10.49,240,1.11,7.14,5.02,198
05/01/2017  09:20,1.58,7.14,6.57,0.93,10,10.37,238,1.28,7.14,5.51,202
05/01/2017  09:50,1.62,7.14,6.66,1.01,10.53,10.33,228,1.26,7.14,5.43,198
05/01/2017  10:20,1.55,7.69,6.53,0.96,11.76,10.97,232,1.22,7.69,5.23,218
05/01/2017  10:50,1.53,13.33,6.49,0.98,13.33,11.14,224,1.18,7.14,5.04,205
05/01/2017  11:20,1.58,11.76,6.42,1.01,11.76,10.99,218,1.21,7.14,4.98,205
05/01/2017  11:50,1.62,11.11,6.35,1.02,11.11,10.93,243,1.25,7.14,4.96,201
05/01/2017  12:20,1.53,12.5,6.33,0.99,12.5,10.91,224,1.17,6.67,4.87,202
05/01/2017  12:50,1.63,12.5,6.48,1.06,12.5,10.87,225,1.24,7.14,5.01,202
05/01/2017  13:20,1.61,11.11,6.53,1.07,11.11,11.15,239,1.2,7.14,4.91,210
05/01/2017  13:50,1.64,11.76,6.45,1.1,11.76,11.03,235,1.21,6.67,4.81,201
