"sizeclass","Sample","Date","Location","Site","SiteNo","Longitude","Latitude","Hs.m.sw","Hs.m.sea","T1.s.sw","T1.s.sea","sst","Count"
"Sublegal","1.1.CHout2_24","2018-05-08","Cliff Head","Cliff Head North","-29.48544167114.9558567",114.9558567,-29.48544167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"All","1.1.CHout2_25","2018-05-08","Cliff Head","Cliff Head North","-29.483475114.9586917",114.9586917,-29.483475,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,5
"Legal","1.1.CHout2_25","2018-05-08","Cliff Head","Cliff Head North","-29.483475114.9586917",114.9586917,-29.483475,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.CHout2_25","2018-05-08","Cliff Head","Cliff Head North","-29.483475114.9586917",114.9586917,-29.483475,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,5
"All","1.1.CHout2_26","2018-05-08","Cliff Head","Cliff Head North","-29.48243167114.9590817",114.9590817,-29.48243167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,6
"Legal","1.1.CHout2_26","2018-05-08","Cliff Head","Cliff Head North","-29.48243167114.9590817",114.9590817,-29.48243167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.CHout2_26","2018-05-08","Cliff Head","Cliff Head North","-29.48243167114.9590817",114.9590817,-29.48243167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,6
"All","1.1.CHout2_27","2018-05-08","Cliff Head","Cliff Head North","-29.48155114.9573567",114.9573567,-29.48155,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Legal","1.1.CHout2_27","2018-05-08","Cliff Head","Cliff Head North","-29.48155114.9573567",114.9573567,-29.48155,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.CHout2_27","2018-05-08","Cliff Head","Cliff Head North","-29.48155114.9573567",114.9573567,-29.48155,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"All","1.1.CHout2_28","2018-05-08","Cliff Head","Cliff Head North","-29.48056833114.9574",114.9574,-29.48056833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Legal","1.1.CHout2_28","2018-05-08","Cliff Head","Cliff Head North","-29.48056833114.9574",114.9574,-29.48056833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.CHout2_28","2018-05-08","Cliff Head","Cliff Head North","-29.48056833114.9574",114.9574,-29.48056833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"All","1.1.JB29","2018-05-08","White Point","White Point","-29.41449114.905485",114.905485,-29.41449,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Legal","1.1.JB29","2018-05-08","White Point","White Point","-29.41449114.905485",114.905485,-29.41449,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.JB29","2018-05-08","White Point","White Point","-29.41449114.905485",114.905485,-29.41449,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"All","1.1.JB30","2018-05-08","White Point","White Point","-29.41642167114.9041683",114.9041683,-29.41642167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,2
"Legal","1.1.JB30","2018-05-08","White Point","White Point","-29.41642167114.9041683",114.9041683,-29.41642167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"Sublegal","1.1.JB30","2018-05-08","White Point","White Point","-29.41642167114.9041683",114.9041683,-29.41642167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"All","1.1.JB31","2018-05-08","White Point","White Point","-29.41985667114.8975467",114.8975467,-29.41985667,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,4
"Legal","1.1.JB31","2018-05-08","White Point","White Point","-29.41985667114.8975467",114.8975467,-29.41985667,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"Sublegal","1.1.JB31","2018-05-08","White Point","White Point","-29.41985667114.8975467",114.8975467,-29.41985667,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,3
"All","1.1.JB32","2018-05-08","White Point","White Point","-29.42218333114.895545",114.895545,-29.42218333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,9
"Legal","1.1.JB32","2018-05-08","White Point","White Point","-29.42218333114.895545",114.895545,-29.42218333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"Sublegal","1.1.JB32","2018-05-08","White Point","White Point","-29.42218333114.895545",114.895545,-29.42218333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,8
"All","1.1.JB33","2018-05-08","White Point","White Point","-29.42608114.8962333",114.8962333,-29.42608,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Legal","1.1.JB33","2018-05-08","White Point","White Point","-29.42608114.8962333",114.8962333,-29.42608,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.JB33","2018-05-08","White Point","White Point","-29.42608114.8962333",114.8962333,-29.42608,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"All","1.1.LH34","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48539333114.9202783",114.9202783,-29.48539333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"Legal","1.1.LH34","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48539333114.9202783",114.9202783,-29.48539333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.LH34","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48539333114.9202783",114.9202783,-29.48539333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"All","1.1.LH35","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48664833114.92082",114.92082,-29.48664833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Legal","1.1.LH35","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48664833114.92082",114.92082,-29.48664833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.LH35","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48664833114.92082",114.92082,-29.48664833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"All","1.1.LH36","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48389509114.9199618",114.9199618,-29.48389509,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Legal","1.1.LH36","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48389509114.9199618",114.9199618,-29.48389509,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.LH36","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48389509114.9199618",114.9199618,-29.48389509,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"All","1.1.LH37","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48786114.9188633",114.9188633,-29.48786,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,2
"Legal","1.1.LH37","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48786114.9188633",114.9188633,-29.48786,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"Sublegal","1.1.LH37","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48786114.9188633",114.9188633,-29.48786,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"All","1.1.LH38","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48974167114.9201967",114.9201967,-29.48974167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"Legal","1.1.LH38","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48974167114.9201967",114.9201967,-29.48974167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.LH38","2018-05-08","Little Horseshoe","Little Horseshoe","-29.48974167114.9201967",114.9201967,-29.48974167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"All","1.1.SM10","2018-05-08","Seven Mile","Seven Mile","-29.21342114.887305",114.887305,-29.21342,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,21
"Legal","1.1.SM10","2018-05-08","Seven Mile","Seven Mile","-29.21342114.887305",114.887305,-29.21342,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,3
