"sizeclass","Sample","Count","Date","Location","Site","Longitude","Latitude"
"Legal","1.1.JB32",1,"2018-05-08","White Point","White Point",114.895545,-29.42218333
"Sublegal","1.1.JB32",8,"2018-05-08","White Point","White Point",114.895545,-29.42218333
"All","1.1.JB33",0,"2018-05-08","White Point","White Point",114.8962333,-29.42608
"Legal","1.1.JB33",0,"2018-05-08","White Point","White Point",114.8962333,-29.42608
"Sublegal","1.1.JB33",0,"2018-05-08","White Point","White Point",114.8962333,-29.42608
"All","1.1.LH34",1,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9202783,-29.48539333
"Legal","1.1.LH34",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9202783,-29.48539333
"Sublegal","1.1.LH34",1,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9202783,-29.48539333
"All","1.1.LH35",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.92082,-29.48664833
"Legal","1.1.LH35",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.92082,-29.48664833
"Sublegal","1.1.LH35",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.92082,-29.48664833
"All","1.1.LH36",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9199618,-29.48389509
"Legal","1.1.LH36",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9199618,-29.48389509
"Sublegal","1.1.LH36",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9199618,-29.48389509
"All","1.1.LH37",2,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9188633,-29.48786
"Legal","1.1.LH37",1,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9188633,-29.48786
"Sublegal","1.1.LH37",1,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9188633,-29.48786
"All","1.1.LH38",1,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9201967,-29.48974167
"Legal","1.1.LH38",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9201967,-29.48974167
"Sublegal","1.1.LH38",1,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9201967,-29.48974167
"All","1.1.SM10",21,"2018-05-08","Seven Mile","Seven Mile",114.887305,-29.21342
"Legal","1.1.SM10",3,"2018-05-08","Seven Mile","Seven Mile",114.887305,-29.21342
"Sublegal","1.1.SM10",18,"2018-05-08","Seven Mile","Seven Mile",114.887305,-29.21342
"All","1.1.SM11",15,"2018-05-08","Seven Mile","Seven Mile",114.8874305,-29.2145563
"Legal","1.1.SM11",1,"2018-05-08","Seven Mile","Seven Mile",114.8874305,-29.2145563
"Sublegal","1.1.SM11",14,"2018-05-08","Seven Mile","Seven Mile",114.8874305,-29.2145563
"All","1.1.SM12",28,"2018-05-08","Seven Mile","Seven Mile",114.8875617,-29.216695
"Legal","1.1.SM12",2,"2018-05-08","Seven Mile","Seven Mile",114.8875617,-29.216695
"Sublegal","1.1.SM12",26,"2018-05-08","Seven Mile","Seven Mile",114.8875617,-29.216695
"All","1.1.SM13",13,"2018-05-08","Seven Mile","Seven Mile",114.8878359,-29.21595152
"Legal","1.1.SM13",0,"2018-05-08","Seven Mile","Seven Mile",114.8878359,-29.21595152
"Sublegal","1.1.SM13",13,"2018-05-08","Seven Mile","Seven Mile",114.8878359,-29.21595152
"All","1.1.SM14",7,"2018-05-08","Seven Mile","Seven Mile",114.8877917,-29.21709667
"Legal","1.1.SM14",0,"2018-05-08","Seven Mile","Seven Mile",114.8877917,-29.21709667
"Sublegal","1.1.SM14",7,"2018-05-08","Seven Mile","Seven Mile",114.8877917,-29.21709667
"All","1.1.SM15",28,"2018-05-08","Seven Mile","Seven Mile",114.8877917,-29.21709667
"Legal","1.1.SM15",1,"2018-05-08","Seven Mile","Seven Mile",114.8877917,-29.21709667
"Sublegal","1.1.SM15",27,"2018-05-08","Seven Mile","Seven Mile",114.8877917,-29.21709667
"All","1.1.SM16",29,"2018-05-08","Seven Mile","Seven Mile",114.8881917,-29.21843167
"Legal","1.1.SM16",1,"2018-05-08","Seven Mile","Seven Mile",114.8881917,-29.21843167
"Sublegal","1.1.SM16",28,"2018-05-08","Seven Mile","Seven Mile",114.8881917,-29.21843167
"All","1.1.SM17",24,"2018-05-08","Seven Mile","Seven Mile",114.8891633,-29.21943
"Legal","1.1.SM17",2,"2018-05-08","Seven Mile","Seven Mile",114.8891633,-29.21943
"Sublegal","1.1.SM17",22,"2018-05-08","Seven Mile","Seven Mile",114.8891633,-29.21943
"All","1.1.SM18",37,"2018-05-08","Seven Mile","Seven Mile",114.889825,-29.22016333
"Legal","1.1.SM18",4,"2018-05-08","Seven Mile","Seven Mile",114.889825,-29.22016333
"Sublegal","1.1.SM18",33,"2018-05-08","Seven Mile","Seven Mile",114.889825,-29.22016333
"All","1.2.CHin2_1",0,"2018-05-09","Cliff Head","Cliff Head South",114.952635,-29.53732667
"Legal","1.2.CHin2_1",0,"2018-05-09","Cliff Head","Cliff Head South",114.952635,-29.53732667
"Sublegal","1.2.CHin2_1",0,"2018-05-09","Cliff Head","Cliff Head South",114.952635,-29.53732667
"All","1.2.CHin2_10",2,"2018-05-09","Cliff Head","Cliff Head South",114.95861,-29.53640167
"Legal","1.2.CHin2_10",0,"2018-05-09","Cliff Head","Cliff Head South",114.95861,-29.53640167
"Sublegal","1.2.CHin2_10",2,"2018-05-09","Cliff Head","Cliff Head South",114.95861,-29.53640167
"All","1.2.CHin2_2",1,"2018-05-09","Cliff Head","Cliff Head South",114.952565,-29.53827333
"Legal","1.2.CHin2_2",0,"2018-05-09","Cliff Head","Cliff Head South",114.952565,-29.53827333
"Sublegal","1.2.CHin2_2",1,"2018-05-09","Cliff Head","Cliff Head South",114.952565,-29.53827333
"All","1.2.CHin2_3",0,"2018-05-09","Cliff Head","Cliff Head South",114.9518767,-29.53918167
"Legal","1.2.CHin2_3",0,"2018-05-09","Cliff Head","Cliff Head South",114.9518767,-29.53918167
"Sublegal","1.2.CHin2_3",0,"2018-05-09","Cliff Head","Cliff Head South",114.9518767,-29.53918167
"All","1.2.CHin2_4",0,"2018-05-09","Cliff Head","Cliff Head South",114.95141,-29.539555
"Legal","1.2.CHin2_4",0,"2018-05-09","Cliff Head","Cliff Head South",114.95141,-29.539555
"Sublegal","1.2.CHin2_4",0,"2018-05-09","Cliff Head","Cliff Head South",114.95141,-29.539555
"All","1.2.CHin2_46",0,"2018-05-09","Cliff Head","Cliff Head South",114.9517733,-29.53861833
"Legal","1.2.CHin2_46",0,"2018-05-09","Cliff Head","Cliff Head South",114.9517733,-29.53861833
"Sublegal","1.2.CHin2_46",0,"2018-05-09","Cliff Head","Cliff Head South",114.9517733,-29.53861833
"All","1.2.CHin2_47",0,"2018-05-09","Cliff Head","Cliff Head South",114.9586667,-29.53613333
"Legal","1.2.CHin2_47",0,"2018-05-09","Cliff Head","Cliff Head South",114.9586667,-29.53613333
"Sublegal","1.2.CHin2_47",0,"2018-05-09","Cliff Head","Cliff Head South",114.9586667,-29.53613333
"All","1.2.CHin2_48",0,"2018-05-09","Cliff Head","Cliff Head South",114.9589317,-29.536135
"Legal","1.2.CHin2_48",0,"2018-05-09","Cliff Head","Cliff Head South",114.9589317,-29.536135
"Sublegal","1.2.CHin2_48",0,"2018-05-09","Cliff Head","Cliff Head South",114.9589317,-29.536135
"All","1.2.CHin2_49",0,"2018-05-09","Cliff Head","Cliff Head South",114.9586233,-29.53578333
"Legal","1.2.CHin2_49",0,"2018-05-09","Cliff Head","Cliff Head South",114.9586233,-29.53578333
"Sublegal","1.2.CHin2_49",0,"2018-05-09","Cliff Head","Cliff Head South",114.9586233,-29.53578333
"All","1.2.CHin2_5",2,"2018-05-09","Cliff Head","Cliff Head South",114.9542083,-29.54255667
"Legal","1.2.CHin2_5",1,"2018-05-09","Cliff Head","Cliff Head South",114.9542083,-29.54255667
"Sublegal","1.2.CHin2_5",1,"2018-05-09","Cliff Head","Cliff Head South",114.9542083,-29.54255667
"All","1.2.CHin2_50",0,"2018-05-09","Cliff Head","Cliff Head South",114.95819,-29.535765
