Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Pwf,Wkw
4.3.LH24,-29.46724,114.92396,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,LH,24,1,13,,,1
4.3.LH23,-29.46673,114.92521,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,LH,23,1,13,,,
4.3.LH48,-29.46588,114.92585,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,LH,48,1,13,1,,
4.3.LH22,-29.46572,114.92522,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,LH,22,1,13,,,
4.3.LH2,-29.46508,114.92445,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,LH,2,1,13,X,,
4.3.LH29,-29.461,114.92623,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,LH,29,1,13,,,
4.3.LH5,-29.46055,114.92634,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,LH,5,1,13,,,
4.3.LH9,-29.4604,114.92648,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,LH,9,1,13,,,
4.3.LH35,-29.46003,114.92649,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,Crab (1),Dongara.Millers.Masters,4,3,LH,35,1,13,,,
4.3.LH1,-29.45972,114.9267,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,LH,1,1,13,,,
4.3.LH45,-29.45934,114.92668,20180815,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,LH,45,1,13,,,
4.3.SR41,-29.45807,114.86879,20180815,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,SR,41,1,13,,,
4.3.SR20,-29.45591,114.87181,20180815,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,SR,20,1,13,,,
4.3.SR11,-29.45528,114.87009,20180815,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,SR,11,1,13,,,
4.3.SR21,-29.45415,114.87013,20180815,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,SR,21,1,13,,,
4.3.SR31,-29.45295,114.87022,20180815,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,SR,31,1,13,,,
4.3.SR49,-29.45248,114.87082,20180815,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,SR,49,1,13,,1 Zebrafish,
4.3.SR12,-29.45169,114.87096,20180815,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,Crab (1),Dongara.Millers.Masters,4,3,SR,12,1,13,,,
4.3.JB26,-29.4268,114.89673,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,26,1,13,,,
4.3.JB3,-29.42676,114.8959,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,Banded sweep (1),Dongara.Millers.Masters,4,3,JB,3,1,13,,,
