"Source","Sample","Trip","Day","Site.code","Pot.number","Location","Site","Date","Day.pull","Latitude","Longitude","Depth.lidar","Pot.type","Comment","Pwo","Pwf","Repeated.samples","Depth.echosounder","Distance.from.shore.perpendicular.kilometer","Distance.from.shore.nearestpoint.kilometer","Days.from.new.moon","Slope","Aspect","Rugosity","Curvature","Curv.plan","Curv.profile","Sd.10m","Sd.15m","Sd.20m","Sd.25m","Sd.50m","Sd.75m","Sd.100m","Sd.200m","Sd.500m","Sd.1000m","Puerulus.count.1k","Puerulus.count.2k","Puerulus.count.3k","Substrate","Wkw","Successful.count","Successful.length","Time","Status","Depth","Observer","CampaignID"
"Dongara.Canons.Masters","1.SM10C7","0","1","SM10","7","Seven Mile","Seven Mile Mid","20171127","1","-29.17562","114.87906","13.32","C",NA,NA,NA,"1","10","1.44","1.02","9","1.00279","177.75","1.00014","0.48278","0.36709","-0.1157","0.10294","0.12628","0.1701","0.21078","0.44078","0.66626","0.98032","2.00396","3.70987","5.25279",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","13.32","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10F8","0","1","SM10","8","Seven Mile","Seven Mile Mid","20171127","1","-29.17594","114.87918","13.28","F",NA,NA,NA,"1","10","1.42","1.03","9","0.60294","328.38901","1.0002","-1.51832","-0.90044","0.61788","0.05175","0.07298","0.08573","0.14841","0.46907","0.73452","1.06474","2.01832","3.7275","5.26248",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","13.28","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C9","0","1","SM10","9","Seven Mile","Seven Mile Mid","20171127","1","-29.1763","114.87936","13.27","C",NA,NA,NA,"1","10","1.4","1.03","9","0.69535","225.403","1.00033","-0.47578","-0.20713","0.26864","0.11204","0.1429","0.17501","0.21923","0.48352","0.81789","1.20586","2.03875","3.74591","5.27361",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","13.27","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C10","0","1","SM10","10","Seven Mile","Seven Mile Mid","20171127","1","-29.17656","114.87962","12.81","C",NA,NA,NA,"1","10","1.37","1.02","9","1.71837","33.0205","1.00021","-0.06296","-0.3163","-0.25334","0.17193","0.27764","0.35072","0.42333","0.812","1.21983","1.55514","2.10109","3.86907","5.29551",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","12.81","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C11","0","1","SM10","11","Seven Mile","Seven Mile Mid","20171127","1","-29.17673","114.87984","12.23","C",NA,NA,NA,"1","10","1.35","1.01","9","1.58191","11.3211","1.00053","-1.78903","-0.81079","0.97824","0.18186","0.32109","0.43275","0.58499","1.06942","1.46133","1.6945","2.14556","3.93279","5.31116",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","12.23","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10F12","0","1","SM10","12","Seven Mile","Seven Mile Mid","20171127","1","-29.1769","114.88004","11.6","F",NA,NA,NA,"1","10","1.34","1","9","3.0317","59.7601","1.00069","0.53877","-0.455","-0.99377","0.33789","0.41846","0.51347","0.68579","1.22315","1.57723","1.76087","2.19596","3.99077","5.32832",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","11.6","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C13","0","1","SM10","13","Seven Mile","Seven Mile Mid","20171127","1","-29.17729","114.88056","10.24","C",NA,NA,NA,"1","10","1.28","0.98","9","4.93025","200.373","1.00014","-0.28346","-0.01311","0.27035","0.45044","0.58118","0.68822","0.78254","1.25333","1.5478","1.66158","2.25622","4.11061","5.37462",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","10.24","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10F14","0","1","SM10","14","Seven Mile","Seven Mile Mid","20171127","1","-29.1777","114.88098","9.28","F",NA,NA,NA,"1","10","1.23","0.98","9","2.78315","184.589","1.00078","-2.01514","-0.9341","1.08105","0.24063","0.3164","0.41148","0.52114","0.897","1.28915","1.49335","2.29496","4.19895","5.42045",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","9.28","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C15","0","1","SM10","15","Seven Mile","Seven Mile Mid","20171127","1","-29.17832","114.88096","11.18","C",NA,NA,NA,"1","10","1.25","1.02","9","3.75339","173.875","1.00047","-1.26087","-1.05974","0.20113","0.34922","0.52494","0.70744","0.93429","1.44299","1.685","1.7741","2.20754","4.21684","5.4161",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","11.18","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C16","0","1","SM10","16","Seven Mile","Seven Mile Mid","20171127","1","-29.17896","114.881","11.67","C",NA,NA,NA,"1","10","1.24","1.06","9","6.23","260.43201","1.00639","-6.60511","-4.45693","2.14819","0.54415","0.6795","0.75363","0.79696","1.06509","1.46029","1.64383","2.21745","4.24072","5.42197",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","11.67","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
