,Lon,Lat,z
63,113.0797619,-23.6,4.24E-38
64,113.0875,-23.6,7.20E-38
65,113.0952381,-23.6,1.21E-37
66,113.1029762,-23.6,2.02E-37
67,113.1107143,-23.6,3.34E-37
68,113.1184524,-23.6,5.49E-37
69,113.1261905,-23.6,8.93E-37
70,113.1339286,-23.6,1.44E-36
71,113.1416667,-23.6,2.31E-36
72,113.1494048,-23.6,3.67E-36
73,113.1571429,-23.6,5.78E-36
74,113.164881,-23.6,9.02E-36
75,113.172619,-23.6,1.40E-35
76,113.1803571,-23.6,2.15E-35
77,113.1880952,-23.6,3.27E-35
78,113.1958333,-23.6,4.95E-35
79,113.2035714,-23.6,7.42E-35
80,113.2113095,-23.6,1.10E-34
81,113.2190476,-23.6,1.63E-34
82,113.2267857,-23.6,2.38E-34
83,113.2345238,-23.6,3.45E-34
84,113.2422619,-23.6,4.96E-34
85,113.25,-23.6,7.08E-34
86,113.2577381,-23.6,1.00E-33
87,113.2654762,-23.6,1.41E-33
88,113.2732143,-23.6,1.96E-33
89,113.2809524,-23.6,2.70E-33
90,113.2886905,-23.6,3.70E-33
91,113.2964286,-23.6,5.03E-33
92,113.3041667,-23.6,6.77E-33
93,113.3119048,-23.6,9.04E-33
94,113.3196429,-23.6,1.20E-32
95,113.327381,-23.6,1.57E-32
96,113.335119,-23.6,2.05E-32
97,113.3428571,-23.6,2.65E-32
98,113.3505952,-23.6,3.40E-32
99,113.3583333,-23.6,4.32E-32
100,113.3660714,-23.6,5.45E-32
101,113.3738095,-23.6,6.81E-32
102,113.3815476,-23.6,8.45E-32
103,113.3892857,-23.6,1.04E-31
104,113.3970238,-23.6,1.27E-31
105,113.4047619,-23.6,1.54E-31
106,113.4125,-23.6,1.84E-31
107,113.4202381,-23.6,2.19E-31
108,113.4279762,-23.6,2.59E-31
109,113.4357143,-23.6,3.03E-31
110,113.4434524,-23.6,3.52E-31
111,113.4511905,-23.6,4.05E-31
112,113.4589286,-23.6,4.63E-31
113,113.4666667,-23.6,5.25E-31
114,113.4744048,-23.6,5.89E-31
115,113.4821429,-23.6,6.57E-31
116,113.489881,-23.6,7.26E-31
117,113.497619,-23.6,7.96E-31
118,113.5053571,-23.6,8.65E-31
119,113.5130952,-23.6,9.33E-31
120,113.5208333,-23.6,9.98E-31
121,113.5285714,-23.6,1.06E-30
122,113.5363095,-23.6,1.11E-30
123,113.5440476,-23.6,1.16E-30
124,113.5517857,-23.6,1.20E-30
125,113.5595238,-23.6,1.23E-30
126,113.5672619,-23.6,1.26E-30
127,113.575,-23.6,1.27E-30
128,113.5827381,-23.6,1.27E-30
129,113.5904762,-23.6,1.26E-30
130,113.5982143,-23.6,1.24E-30
131,113.6059524,-23.6,1.21E-30
132,113.6136905,-23.6,1.17E-30
133,113.6214286,-23.6,1.13E-30
134,113.6291667,-23.6,1.07E-30
135,113.6369048,-23.6,1.02E-30
136,113.6446429,-23.6,9.52E-31
137,113.652381,-23.6,8.85E-31
138,113.660119,-23.6,8.16E-31
139,113.6678571,-23.6,7.46E-31
140,113.6755952,-23.6,6.77E-31
141,113.6833333,-23.6,6.09E-31
142,113.6910714,-23.6,5.43E-31
143,113.6988095,-23.6,4.81E-31
144,113.7065476,-23.6,4.22E-31
145,113.7142857,-23.6,3.67E-31
146,113.7220238,-23.6,3.17E-31
147,113.7297619,-23.6,2.71E-31
148,113.7375,-23.6,2.30E-31
149,113.7452381,-23.6,1.94E-31
150,113.7529762,-23.6,1.62E-31
151,113.7607143,-23.6,1.34E-31
152,113.7684524,-23.6,1.10E-31
153,113.7761905,-23.6,8.99E-32
154,113.7839286,-23.6,7.26E-32
155,113.7916667,-23.6,5.82E-32
