Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Wkw
5.4.WL31,-29.38293,114.8872,20180917,12:00:00,White Point,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,WL,31,1,13,,
5.4.WL48,-29.38396,114.8867,20180917,12:00:00,White Point,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,WL,48,1,13,,
5.4.WL23,-29.38423,114.8858,20180917,12:00:00,White Point,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,WL,23,1,13,1,
5.4.WL41,-29.38532,114.886,20180917,12:00:00,White Point,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,WL,41,1,13,,
5.4.IR1,-29.34121,114.8731,20180917,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,IR,1,1,13,,
5.4.IR13,-29.34169,114.8732,20180917,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,IR,13,1,13,,
5.4.IR20,-29.34178,114.8737,20180917,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,IR,20,1,13,X,
5.4.IR16,-29.34236,114.8738,20180917,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,Fish (1),Dongara.Millers.Masters,5,4,IR,16,1,13,,
5.4.IR35,-29.34284,114.8741,20180917,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,IR,35,1,13,,
5.4.IR34,-29.34328,114.874,20180917,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,IR,34,1,13,,
5.4.IR32,-29.34374,114.8742,20180917,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,IR,32,1,13,,1
5.4.IR26,-29.34439,114.8739,20180917,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,IR,26,1,13,,
5.4.IR24,-29.34486,114.8737,20180917,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,IR,24,1,13,,
5.4.IR5,-29.32323,114.8734,20180917,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,IR,5,1,13,,
