Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Depth.lidar,Pot.type,Pwo,Wkw
1.2.LH43,-29.45856833,114.9213767,20180509,12:00:00,Little Horseshoe,Fished,Little Horseshoe,6.401,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,LH,43,1,6.401,13,,
1.2.LH44,-29.4581,114.9221567,20180509,12:00:00,Little Horseshoe,Fished,Little Horseshoe,7.681,Ash Miller,Yes,Yes,Cardinal fish (1),Dongara.Millers.Masters,1,2,LH,44,1,7.681,13,1,
1.2.LH45,-29.45814167,114.921565,20180509,12:00:00,Little Horseshoe,Fished,Little Horseshoe,8,Ash Miller,Yes,Yes,Spotted trumpeters (5),Dongara.Millers.Masters,1,2,LH,45,1,8,13,,
1.2.RM36,-29.26257667,114.8960683,20180509,12:00:00,Rivermouth,Fished,Rivermouth,16.049,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,RM,36,2,16.049,13,,
1.2.RM37,-29.26217,114.8979383,20180509,12:00:00,Rivermouth,Fished,Rivermouth,16.481,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,RM,37,2,16.481,13,,
1.2.RM38,-29.26051167,114.900535,20180509,12:00:00,Rivermouth,Fished,Rivermouth,16.002,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,RM,38,2,16.002,13,,
1.2.RM39,-29.26194,114.900465,20180509,12:00:00,Rivermouth,Fished,Rivermouth,14.302,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,RM,39,2,14.302,13,1,
1.2.RM40,-29.26229667,114.9029033,20180509,12:00:00,Rivermouth,Fished,Rivermouth,14.482,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,RM,40,2,14.482,13,,
1.1.SM10,-29.21342,114.887305,20180508,12:00:00,Seven Mile,Fished,Seven Mile,10.85,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,SM,10,1,10.85,13,,
1.1.SM11,-29.2145563,114.8874305,20180508,12:00:00,Seven Mile,Fished,Seven Mile,11.93,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,SM,11,1,11.93,13,,
1.1.SM12,-29.216695,114.8875617,20180508,12:00:00,Seven Mile,Fished,Seven Mile,13.34,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,SM,12,1,13.34,13,,
1.1.SM13,-29.21595152,114.8878359,20180508,12:00:00,Seven Mile,Fished,Seven Mile,12.342,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,SM,13,1,12.342,13,,
